i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
117,2,0.04,0.5,0.07374169724917304,"set([0.9266906860376832, 0.0740871696910202, 0.0755539247990155, 0.15506084529297215, 0.06940348592422817, 0.07550386887600032])",dc,6,7,0.9614944458007812,0.04767055246111779
118,1,0.04,0.5,0.07412257631080216,"set([0.7117929129888141, 0.17864966161799964, 0.0757611058019784, 0.06988872351543281])",dc,4,7,0.8852424621582031,0.04626406374289488
119,0,0.04,0.5,0.07714101667128515,"set([0.08025796666763241, 0.07065184952983393, 0.16231965596211362, 0.07366515859764682, 1.69861028126965])",dc,5,7,1.245391845703125,0.05281099382292445
120,2,0.04,0.5,0.07301811264784151,"set([0.07117361157573236, 0.07610604315588496, 0.06776921745341564, 0.06020310569626605])",dc,4,6,0.9943809509277344,0.048147396653012466
121,1,0.04,0.5,0.07484215093521122,"set([3.557690146814513, 0.07143266451024786, 0.07002827004696742, 0.07778304815196549])",dc,4,6,0.9419212341308594,0.04747206688194305
122,0,0.04,0.5,0.07833649689907272,"set([0.07343965173783336, 0.797210821955369, 0.07172654423071104, 0.08287762522006388])",dc,4,6,1.3096199035644531,0.053969896526536124
123,2,0.04,0.5,0.0756895394185254,"set([0.071932236931565, 0.07101959809486111, 0.08037034687061588, 0.0703078274743416, 0.07298231369050964])",dc,5,5,1.0664863586425781,0.049811857427871004
124,1,0.04,0.5,0.07749656492215728,"set([0.08158164484326037, 0.30726691037575893, 0.0724075467289533, 0.2555028528794549, 0.07201458853138962])",dc,5,5,0.9931297302246094,0.04881675070990568
125,0,0.04,0.5,0.07936433576930542,"set([0.20549145013190112, 0.0847825969724916, 55.78132094436728, 0.07479383558466486, 0.07641387886164208, 0.27447573008737225, 0.072626389890548])",dc,7,5,1.9835586547851562,0.05592385149023316
126,1,0.007999999999999997,0.9,0.05403323271904656,"set([0.019523316347151574, 0.06718437950740734])",dc,2,9,0.31368255615234375,0.015576530164696274
127,2,0.007999999999999997,0.9,0.048000945954028054,"set([0.03170351617265261, 0.06328696406384308, 0.01601508218719837])",dc,3,9,0.3299522399902344,0.015842848174318885
128,0,0.007999999999999997,0.9,0.05963694618045333,"set([0.283431219866527, 0.07776363037250779, 0.019881897105362707])",dc,3,9,0.5269508361816406,0.02317781690000765
129,1,0.007999999999999997,0.9,0.05516155572761756,"set([0.07005694294375057, 0.019337669809268716])",dc,2,8,0.327301025390625,0.0161664106465832
130,2,0.007999999999999997,0.9,0.048951225621044224,"set([0.07104794507933271, 0.06659953097991625, 0.014723499936293998, 0.028112647324728547])",dc,4,8,0.3509483337402344,0.01663642784023267
131,0,0.007999999999999997,0.9,0.06113908422424498,"set([0.07914582866159936, 1.2385074855020655, 0.34857767415004415, 0.7963220104178788, 0.023957479644189643, 3.203019967119867])",dc,6,8,0.5556869506835938,0.02414736379219518
132,1,0.007999999999999997,0.9,0.01925873466539946,set([0.01925873466539946]),dc,1,10,0.16747665405273438,0.00852040991319127
133,2,0.007999999999999997,0.9,0.015992072063375,set([0.015992072063375]),dc,1,10,0.167877197265625,0.00845259300173789
134,0,0.007999999999999997,0.9,0.01733850054873896,set([0.01733850054873896]),dc,1,10,0.18461990356445312,0.00899799664784952
135,1,0.007999999999999997,0.9,0.05797072255091201,"set([0.07384324542000023, 0.711792912988814, 0.1786496616179996, 0.022358947631292328])",dc,4,7,0.3497962951660156,0.017164076309896095
136,2,0.007999999999999997,0.9,0.05092118972676904,"set([0.07057065538934099, 0.0197507633067851, 0.9266906860376835, 0.022894408347415802, 0.15506084529297218, 0.05305981715915596])",dc,6,7,0.37926483154296875,0.017732914361373673
137,0,0.007999999999999997,0.9,0.05677665320863775,"set([0.08025796666763241, 0.029252681544486275, 0.16231965596211362, 1.69861028126965, 0.014625231716888414])",dc,5,7,0.6026802062988281,0.024799936188472916
